title,abstract,authors,year,doi,source,include_title_screening,exclusion_reason,url,publisher,cites
Study on integration and application of artificial intelligence and wireless network in piano music teaching,"… When artificial intelligence was first introduced to the music … styles can benefit from the timbres of the guitar, but rock &roll is … Performance analysis of teaching system’s effect evaluation …",J Li,2022,10.1155/2022/8745833,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/8745833,Wiley Online Library,4
Automatic melody harmonization with triad chords: A comparative study,… We report the result of an objective evaluation using six … non-deep learning based and two deep learning based models … Automatic composition of guitar tabs by transformers and groove …,"YC Yeh, WY Hsiao, S Fukayama, ...",2021,10.1080/09298215.2021.1873392,Google Scholar,no,Contém palavra-chave de exclusão: composition,https://www.tandfonline.com/doi/abs/10.1080/09298215.2021.1873392,Taylor &Francis,85
Transfer of knowledge among instruments in automatic music transcription,"… because models trained on spectrograms for guitar recordings will not learn the same way of … For model evaluation, we used metrics used by other automatic music transcription works …","M Leś, M Woźniak",2023,10.1007/978-3-031-42505-9_11,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://link.springer.com/chapter/10.1007/978-3-031-42505-9_11,Springer,3
Towards quantification of explainability algorithms,"… Inspired by earlier work in XAI evaluation, we ""propose"" an evaluation framework consisting of four metrics – (1) Consistency, (2) Efficiency, (3) Integrity and (4) Preciseness, which help …","P Rokade, BKR Alluri",2021,10.1145/3505711.3505716,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://dl.acm.org/doi/abs/10.1145/3505711.3505716,dl.acm.org,3
Blind Source Separation in the Presence of AWGN Using ICA-FFT Algorithms a Machine Learning Process,"… For implementing the proposed module, the music system is taken as input, consider that the music system has three different sounds DrumsS1 Guitar S2 and Human voice S3 these 3 …","MR Ezilarasan, G Rajesh, KR Vinoth, ...",2023,10.1201/9781003388913-34,Google Scholar,no,Contém palavra-chave de exclusão: drums,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003388913-34/blind-source-separation-presence-awgn-using-ica-fft-algorithms-machine-learning-process-ezilarasan-rajesh-kumar-vinoth-aanandhasaravanan,taylorfrancis.com,5
Popular Song Composition Based on Deep Learning and Neural Network,"… Most composers like to use guitar or piano to create while … development needs, artificial intelligence has accelerated its … neural network increases the feedback link from hidden layer to …","J Kuang, T Yang",2021,10.1155/2021/7164817,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/7164817,Wiley Online Library,12
RETRACTED: Study on Intelligent Online Piano Teaching System Based on Deep Learning Recurrent Neural Network Model,This study has been conducted to solve the problem of repetitive piano lessons and to bring a personalized experience for each piano learner. The application of deep learning (DL) …,Y Li,2022,10.1155/2022/9469975,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/9469975,Wiley Online Library,6
A Lightweight Deep Learning‐Based Approach for Jazz Music Generation in MIDI Format,"… generate the piano rolls for the different tracks such as guitar, bass, piano, drums, and strings… The evaluation of the model can be conducted based on either being graded by humans or …","PS Yadav, S Khan, YV Singh, P Garg, ...",2022,10.1155/2022/2140895,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/2140895,Wiley Online Library,49
Automatic chord label personalization through deep learning of shared harmonic interval profiles,… We use the standard MIREX chord label evaluation methods that are introduced in Sect. 2.2 to compare the output of our system with the reference annotation from an annotator [25]. …,"HV Koops, WB de Haas, J Bransen, A Volk",2020,10.1007/s00521-018-3703-y,Google Scholar,no,Contém palavra-chave de exclusão: mir,https://link.springer.com/article/10.1007/s00521-018-3703-y,Springer,21
Combination of resnet and spatial pyramid pooling for musical instrument identification,"… Nevertheless, as shown in Figure 1, the violin, cello, and guitar all have a similar basic shape. … Additionally, we intend to include Explainable Artificial Intelligence (XAI) into our future …","C Dewi, RC Chen",2022,10.2478/cait-2022-0007,Google Scholar,no,Contém palavra-chave de exclusão: violin,https://sciendo.com/pdf/10.2478/cait-2022-0007,sciendo.com,24
Employing crowdsourcing for enriching a music knowledge base in higher education,"… Secondly, we aimed to collect feedback about the CrowdHeritage platform as a tool for … the CrowdHeritage platform as a means to express their perceptions and provide feedback. …","V Lyberatos, S Kantarelis, E Kaldeli, S Bekiaris, ...",2023,10.1007/978-981-99-7947-9_17,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://link.springer.com/chapter/10.1007/978-981-99-7947-9_17,Springer,4
Reimagining speech: a scoping review of deep learning-based methods for non-parallel voice conversion,"… current state of the art in the field of deep learning-based VC, 2) identify the commonly used tools, techniques, and evaluation methods in deep learning-based VC research, and 3) gain …","AR Bargum, S Serafin, C Erkut",2024,10.3389/frsip.2024.1339159,Google Scholar,no,Contém palavra-chave de exclusão: voice,https://www.frontiersin.org/journals/signal-processing/articles/10.3389/frsip.2024.1339159/full,frontiersin.org,13
Perceptual quality assessment of omnidirectional audio-visual signals,"… The ODV contents include acappella chorus, shopping, guitar playing, restaurant ordering, … The optimal weights depend on the used single-mode A/V quality evaluation models and we …","X Zhu, H Duan, Y Cao, Y Zhu, Y Zhu, J Liu, ...",2023,10.1007/978-981-99-9119-8_46,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://link.springer.com/chapter/10.1007/978-981-99-9119-8_46,Springer,33
A review of intelligent music generation systems,"… in music evaluation. Briot et al. [4] introduced algorithms based on deep learning based … of instrument timbres such as cello, violin and electric guitar. In addition, Coconet [36] used a …","L Wang, Z Zhao, H Liu, J Pang, Y Qin, Q Wu",2024,10.1007/s00521-024-09418-2,Google Scholar,no,Contém palavra-chave de exclusão: violin,https://link.springer.com/article/10.1007/s00521-024-09418-2,Springer,81
"The WASABI dataset: Cultural, lyrics and audio analysis metadata about 2 million popular commercially released songs","… Some MIDI content was used in WASABI during the evaluation of the chord extraction. … distinct values among which 16 different types of guitar) and equipment types (eg microphone, …","M Buffa, E Cabrio, M Fell, F Gandon, A Giboin, ...",2021,10.1007/978-3-030-77385-4_31,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://link.springer.com/chapter/10.1007/978-3-030-77385-4_31,Springer,25
Artificial intelligence in music composition,"… An example that illustrates the use of technology in music is the use of artificial intelligence (AI… Dealing with an acoustic Jazz Guitar, however, produces a much less accurate result. If we …","M Alaeddine, A Tannoury",2021,10.1007/978-3-030-79150-6_31,Google Scholar,no,Contém palavra-chave de exclusão: composition,https://link.springer.com/chapter/10.1007/978-3-030-79150-6_31,Springer,19
Application of artificial intelligence in arrangement creation,"… LSTM belongs to the category of feedback neural network. It not only has its own … instruments such as intelligent piano, intelligent guitar and intelligent drummer, and also develops …",X Hu,2021,10.1007/978-3-030-89508-2_1,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://link.springer.com/chapter/10.1007/978-3-030-89508-2_1,Springer,2
Research on Piano Program Programming and Creative Optimization Methods Based on Big Data Technology,"… applying machine learning algorithms, intelligent evaluation … 6 that our guitar has a relatively strong jumping ability, and … This study applied machine learning algorithms to intelligently …",L Liu,2025,10.1142/S0129156424400901,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://www.worldscientific.com/doi/abs/10.1142/S0129156424400901,World Scientific,2
Machine-learning-aided self-powered assistive physical therapy devices,"… self-powered sensors and optimized machine-learning algorithms will play innovative roles … In this Perspective, we provide an overview of the latest developments in machine-learning-…","X Xiao, Y Fang, X Xiao, J Xu, J Chen",2021,10.1021/acsnano.1c10676,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://pubs.acs.org/doi/abs/10.1021/acsnano.1c10676,ACS Publications,87
Evaluating the accuracy of step tracking and fall detection in the Starkey Livio artificial intelligence hearing aids: a pilot study,Purpose The primary purpose of this study was to examine the efficacy and the effectiveness of Starkey Livio Artificial Intelligence hearing aids in tracking step count. A secondary …,"M Rahme, P Folkeard, S Scollie",2021,10.1044/2020_AJA-20-00105,Google Scholar,no,Tem IA/ML mas não relacionado a guitarra ou aprendizado/performance,https://pubs.asha.org/doi/abs/10.1044/2020_AJA-20-00105,pubs.asha.org,26
Venire: A Machine Learning-Guided Panel Review System for Community Content Moderation,"… feedback from our initial interviews, we implemented the strict voting mock-up. We made a few updates to the interface based on lower-level feedback … playing the guitar and piano on …","V Koshy, F Choi, YS Chiang, H Sundaram, ...",2025,10.1145/3757699,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://dl.acm.org/doi/abs/10.1145/3757699,dl.acm.org,7
Algorithmic Nostalgia: Longing for the Past in the Age of Artificial Intelligence,"… The feedback loop is well illustrated by the policies of Netflix, whose role in popularising … Lennon’s voice was distilled via the machine learning audio restoration, and the bass, guitar, …",D Brzeziński,2024,10.4324/9781032646930-9/algorithmic-nostalgia-dariusz-brzezi%C5%84ski,Google Scholar,no,Contém palavra-chave de exclusão: voice,https://www.taylorfrancis.com/chapters/edit/10.4324/9781032646930-9/algorithmic-nostalgia-dariusz-brzezi%C5%84ski,taylorfrancis.com,3
ImproScales: a self-tutoring web system for using scales in improvisations,"… skills, by providing them feedback and statistics on what they play. … interviews with four electric guitar players to investigate the … a client: is the main responsible for all audio analysis and …","T Borgogno, L Turchet",2022,10.1145/3561212.3561229,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://dl.acm.org/doi/abs/10.1145/3561212.3561229,dl.acm.org,1
Conditional drums generation using compound word representations,"… When using any deep learning model which considers music … Similar to [30, 31], we exclude pitch information for Guitar … [2], we will include a quantitative evaluation as well as a listening …","D Makris, G Zixun, M Kaliakatsos-Papakostas, ...",2022,10.1007/978-3-031-03789-4_12,Google Scholar,no,Contém palavra-chave de exclusão: drums,https://link.springer.com/chapter/10.1007/978-3-031-03789-4_12,Springer,12
Knowledge representation in artificial intelligence: An overview,"In real world, knowledge plays a significant role in exhibiting intelligent behavior by artificial intelligence (AI) agents. In AI, an agent can act accurately if it has past experience related to …","L Sharma, PK Garg",2021,10.1201/9781003140351-3,Google Scholar,no,Tem IA/ML mas não relacionado a guitarra ou aprendizado/performance,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003140351-3/knowledge-representation-artificial-intelligence-overview-lavanya-sharma-pradeep-kumar-garg,taylorfrancis.com,8
Sustainable employability: Sustainable employability in the age of generative artificial intelligence,"Unless you have been deliberately living under a rock, I assume that most of you are familiar with ChatGPT: the artificial intelligence chatbot developed by OpenAI (https://openai. com/…",K Adiasto,2024,10.1177/10596011241238792,Google Scholar,no,Tem IA/ML mas não relacionado a guitarra ou aprendizado/performance,https://journals.sagepub.com/doi/abs/10.1177/10596011241238792,journals.sagepub.com,17
The role of nurses in inpatient geriatric rehabilitation units: A scoping review,"The role of nurses in inpatient geriatric rehabilitation units: A scoping review - Guitar - 2023 … to providing patient motivation and evaluation, as well as goal-oriented rehabilitation care …","NA Guitar, DM Connelly, K Prentice, A Nguyen, ...",2023,10.1002/nop2.1951,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://onlinelibrary.wiley.com/doi/abs/10.1002/nop2.1951,Wiley Online Library,13
Quantifying the genericness of trademarks using natural language processing: an introduction with suggested metrics,"… Likewise, the evaluation of results was rudimentary: the table of ten known genericized, … of resonator guitar rated somewhat generic among the examples of Table 1. We chose guitar …","C Shackell, L De Vine",2022,10.1007/s10506-021-09291-7,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://link.springer.com/article/10.1007/s10506-021-09291-7,Springer,6
Spying through virtual backgrounds of video calls,"… various objects in the background, such as a guitar, a poster, or a fan. Since our approach … To provide a basis for the design and evaluation of our attack, we introduce a threat model …","JM Hilgefort, D Arp, K Rieck",2021,10.1145/3474369.3486870,Google Scholar,no,Contém palavra-chave de exclusão: poster,https://dl.acm.org/doi/abs/10.1145/3474369.3486870,dl.acm.org,14
Vit-based vq-vae generative network for accompaniment generation,"… In LPD-5cleansed, the tracks are merged into five common categories: Drums, Piano, Guitar, … Objective Evaluation. There is no standard set of objective metrics for music generation up …","K Song, X Liang, J Wu",2021,10.1145/3508546.3508612,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://dl.acm.org/doi/abs/10.1145/3508546.3508612,dl.acm.org,4
Natural language response formats for assessing depression and worry with large language models: A sequential evaluation with model pre-registration,"… Using the Sequential Evaluation with Model Pre-Registration design, machine-learning models were trained on a development dataset (N= 963), and then pre-registered before tested …","Z Gu, K Kjell, HA Schwartz, O Kjell",2025,10.1177/10731911251364022,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://journals.sagepub.com/doi/abs/10.1177/10731911251364022,journals.sagepub.com,5
Artificial intelligence integration into school education: A review of Indian and foreign perspectives,"The rise of artificial intelligence (AI) is rapidly influencing our education system. It is apparent that the students of today are mostly attached with their smart mobile phones, tablets, …","B Karan, GR Angadi",2025,10.1177/09763996231158229,Google Scholar,no,Tem IA/ML mas não relacionado a guitarra ou aprendizado/performance,https://journals.sagepub.com/doi/abs/10.1177/09763996231158229,journals.sagepub.com,41
Music software with a Machine Learning-based feedback system as an alternative for initial piano study in children.,"… For the implementation of the feedback system, it was necessary to find the most appropriate Machine Learning classifier for the objective of this stage. For this, a comparison was made …","MA Borja, JE Camargo",2024,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=11373601&AN=177767898&h=aWACS3qeY3SbzpIFPGFcAIXn9osA7NQjjspwf19zpAEQjs1L78YUIdZmWvrAmfWtlHygQy2t8B9TEUQ%2BNDzvew%3D%3D&crl=c,search.ebscohost.com,4
Biomechanical modelling of guitar performance,,L COSTALONGA,2023,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,,Edufes,1
Performance assessment technologies for the support of musical instrument learning,"… We have grouped the audio analysis technologies of relevance to performance assessment … two guitar teachers in the manual assessment of each recording, using 4 evaluation levels …","V Eremenko, A Morsi, J Narang, X Serra",2020,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://repositori.upf.edu/items/9e1982ce-ff26-40bb-9fd7-31872965f56d,repositori.upf.edu,40
The Sophtar: a networkable feedback string instrument with embedded machine learning,… retrieval (MIR) techniques on live electric guitar feedback sounds to generate MIDI notes.As … using feedback guitar in sound interaction design [29] and interactive machine learning [30] …,F Visi,2024,,Google Scholar,no,Contém palavra-chave de exclusão: mir,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1916497,diva-portal.org,5
GAPS: A large and diverse classical guitar dataset and benchmark transcription model,"… One application of this dataset is AMT for guitar, which we demonstrate through a comprehensive evaluation of a transcription model trained on our data. This shows stateof-the-art …","X Riley, Z Guo, D Edwards, S Dixon",2024,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://arxiv.org/abs/2408.08653,arxiv.org,10
Automatic recognition of cascaded guitar effects,"… guitar effect recognition that is closer to the actual use case of guitar effect pedals. To generate the dataset, we used multiple clean guitar … -SMT-Guitar as the evaluation dataset is more …","J Guo, B McFee",2023,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://www.dafx.de/paper-archive/2023/DAFx23_paper_30.pdf,dafx.de,10
Automatic composition of guitar tabs by transformers and groove modeling,"… Our work provides preliminary empirical evidence of the promise of deep learning for tab … Figure 6 shows the result of the subjective evaluation, where we present the audio rendition …","YH Chen, YH Huang, WY Hsiao, YH Yang",2020,,Google Scholar,no,Contém palavra-chave de exclusão: composition,https://arxiv.org/abs/2008.01431,arxiv.org,57
Expressive acoustic guitar sound synthesis with an instrument-specific input representation and diffusion outpainting,"… In this work, we propose an expressive acoustic guitar sound synthesis model with a … existing guitar dataset but also collected data from a high quality sample-based guitar synthesizer. …","H Kim, S Choi, J Nam",2024,,Google Scholar,no,Contém palavra-chave de exclusão: synthesis,https://ieeexplore.ieee.org/abstract/document/10446678/,ieeexplore.ieee.org,8
Ddsp guitar amp: Interpretable guitar amplifier modeling,… OBJECTIVE EVALUATION RESULTS We evaluate the accuracy of the implemented models for emulating the target guitar amp (for unseen content in test data) in MAE and MR-STFT […,"YT Yeh, YH Chen, YC Cheng, JT Wu, ...",2025,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://ieeexplore.ieee.org/abstract/document/10889306/,ieeexplore.ieee.org,6
DDSP-based neural waveform synthesis of polyphonic guitar performance from string-wise MIDI input,… The subjective evaluation also includes natural audio as well as renders of the MIDI with the free commercial sample-based guitar synthesizer Ample Guitar lite [1]. Objective evaluation: …,"N Jonason, X Wang, E Cooper, L Juvela, ...",2023,,Google Scholar,no,Contém palavra-chave de exclusão: synthesis,https://arxiv.org/abs/2309.07658,arxiv.org,5
Guitar augmentation for Percussive Fingerstyle: Combining self-reflexive practice and user-centred design,"… guitar prototype for percussive fingerstyle guitarists. The first author, himself a percussive fingerstyle player, started the project of an augmented guitar … We present their feedback on two …","A Martelloni, A McPherson, M Barthet",2021,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://qmro.qmul.ac.uk/jspui/handle/123456789/88835,qmro.qmul.ac.uk,9
A differentiable acoustic guitar model for string-specific polyphonic synthesis,"… The use of deep learning for guitar synthesis remains largely … explored synthesizing acoustic guitar using various signal … quality of guitar sound for the synthesizers under evaluation, …","A Wiggins, Y Kim",2023,,Google Scholar,no,Contém palavra-chave de exclusão: synthesis,https://ieeexplore.ieee.org/abstract/document/10248159/,ieeexplore.ieee.org,9
Skin-Inspired Tactile Sensor on Cellulose Fiber Substrates with Interfacial Microstructure for Health Monitoring and Guitar Posture Feedback,… Two different experiments (detection of guitar strumming and chord progression) were carried out in this work while guitar playing. Figure 9a shows the experimental setup for guitar …,"RS Karmakar, CP Chu, CL Li, CH Hsueh, YC Liao, ...",2023,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://www.mdpi.com/2079-6374/13/2/174,mdpi.com,8
CAVI: A Coadaptive Audiovisual Instrument-Composition.,… audiovisual instrument that uses deep learning to generate its … set of mappings and receives feedback from the performer. … our previous pipeline for creating the “air guitar” model [23]. …,"C Erdem, B Wallace, AR Jensenius",2022,,Google Scholar,no,Contém palavra-chave de exclusão: composition,https://www.researchgate.net/profile/Cagri-Erdem-2/publication/361591625_CAVI_A_Coadaptive_Audiovisual_Instrument-Composition/links/62fb82d6aa4b1206fab6570f/CAVI-A-Coadaptive-Audiovisual-Instrument-Composition.pdf,researchgate.net,19
Automatic evaluation of piano performances for STEAM education,… Another work [9] used machine learning methods such as … self-taught instrument for beginner students on Guitar [11]. In [12… the prevalent techniques in machine learning applications. To …,"V Phanichraksaphong, WH Tsai",2021,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://www.mdpi.com/2076-3417/11/24/11783,mdpi.com,30
Music deep learning: deep learning methods for music signal processing—a review of the state-of-the-art,"… The reader should refer to each work for an extensive presentation of the evaluation … 0.96, with the drums being easier to identify, and the guitar and piano the more difficult ones. In [99], …","L Moysis, LA Iliadis, SP Sotiroudis, AD Boursianis, ...",2023,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://ieeexplore.ieee.org/abstract/document/10043650/,ieeexplore.ieee.org,53
Effects of instructed timing on electric guitar and bass sound in groove performance,This paper reports on two experiments that investigated the expressive means through which musicians well versed in groove-based music signal the intended timing of a rhythmic event…,"GS Câmara, K Nymoen, O Lartillot, ...",2020,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://pubs.aip.org/asa/jasa/article/147/2/1028/993482,pubs.aip.org,29
Note-level automatic guitar transcription using attention mechanism,"… Experimental evaluation results demonstrate that our proposed method not only outperforms a state-of-the-art guitar transcription system in frame-level estimation, but is also capable of …","S Kim, T Hayashi, T Toda",2022,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://ieeexplore.ieee.org/abstract/document/9909659/,ieeexplore.ieee.org,23
Evaluation of inertial sensor data by a comparison with optical motion capture data of guitar strumming gestures,"… guitar instrumental controls in real-time by combining motion capture data, audio analysis … [29] developed an actuated guitar that “utilizes a normal electrical guitar, sensors to capture …","S Freire, G Santos, A Armondes, EAL Meneses, ...",2020,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://www.mdpi.com/1424-8220/20/19/5722,mdpi.com,23
Deep learning for black-box modeling of audio effects,"… musical instruments such as electric guitar, bass guitar, electric piano … pedals, tube amplifiers and guitar pickup emulators. … As an objective evaluation for the Leslie speaker time-varying …","MA Martínez Ramírez, E Benetos, JD Reiss",2020,,Google Scholar,no,Contém palavra-chave de exclusão: piano,https://www.mdpi.com/2076-3417/10/2/638,mdpi.com,85
An entirely reverse-engineered finite element model of a classical guitar in comparison with experimental data,… classical guitar with the help of experimental data is presented. The geometry of the guitar is … All of the five different types of wood used in the guitar are modeled with their corresponding …,"A Brauchler, P Ziegler, P Eberhard",2021,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://pubs.aip.org/asa/jasa/article/149/6/4450/1059381,pubs.aip.org,33
A few-sample strategy for guitar tablature transcription based on inharmonicity analysis and playability constraints,"… For the evaluation of our method on a realistic context of recorded performances, we used the four few-sample schemes proposed above for the audio-based string classification, and a …","G Bastas, S Koutoupis, ...",2022,,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://ieeexplore.ieee.org/abstract/document/9747169/,ieeexplore.ieee.org,8
